model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
pred_blend_raw_highcal_50,2369,58.27841614243714,73.30566081173278,0.49376379350053234,24.860895183462382,0.5458243263586702,solar_segment,low
pred_blend_iso_highcal_50,2369,57.74303857772783,72.87415869342841,0.4997060108140612,23.07215803413436,0.5484977592571454,solar_segment,low
persistence,6146,166.69164885797008,197.41466490728243,0.1158730634666093,-19.551316420259656,0.0,solar_segment,medium
pred_raw,6146,63.8938108539409,89.43826353864739,0.8185309700262734,10.189261720898882,0.5469522814799352,solar_segment,medium
pred_isotonic,6146,62.62736059681952,89.6853785514663,0.817526798640032,9.73394264534882,0.5457005253708591,solar_segment,medium
pred_bin_bias,6146,61.87934361085122,89.46660036795133,0.8184159617214057,10.442787900277018,0.5468087418431142,solar_segment,medium
pred_high_residual_cal,6146,63.883381169646874,89.4314283587776,0.8185587059418601,10.193054348096348,0.5469869049455882,solar_segment,medium
pred_high_residual_cal_full,6146,63.881433250613476,89.43135331491926,0.8185590104444115,10.194318557162172,0.5469872850787376,solar_segment,medium
pred_blend_raw_highcal_50,6146,63.888162633240974,89.43360661973804,0.818549867185554,10.191158034497615,0.5469758710086643,solar_segment,medium
pred_blend_iso_highcal_50,6146,63.149325173652095,89.444185878147,0.8185069365367111,9.963498496722583,0.5469222819887507,solar_segment,medium
persistence,15201,188.70246293382954,248.75672352293083,0.1981530304340271,27.55938185645681,0.0,solar_segment,high
pred_raw,15201,137.83176217078113,172.57992901558217,0.6140576753267015,8.639221271153469,0.3062300927127566,solar_segment,high
pred_isotonic,15201,138.18609511005442,172.81455514602186,0.6130075681846969,8.417964462832858,0.305286897581719,solar_segment,high
pred_bin_bias,15201,135.27943433896635,174.39694964206564,0.6058880483043348,26.8102046939153,0.2989256846117391,solar_segment,high
pred_high_residual_cal,15201,139.98214079180516,178.26286541272387,0.5882215612567506,23.100782733246522,0.2833847347394761,solar_segment,high
pred_high_residual_cal_full,15201,141.49476265595794,181.4382571297111,0.5734209061988954,27.92130322061087,0.2706196859318827,solar_segment,high
pred_blend_raw_highcal_50,15201,138.46041799028947,174.67712587188728,0.6046207153736538,15.870002002199994,0.29779937845263815,solar_segment,high
pred_blend_iso_highcal_50,15201,138.61490103528683,174.74001404066954,0.6043359711060101,15.759373598039689,0.29754656852697414,solar_segment,high
persistence,2049,166.58082008645331,215.11032666200438,0.48498364851185005,-1.2400681795998043,0.0,month,1
pred_raw,2049,92.66480146893859,131.22836645917866,0.8083300878612373,4.505806306394553,0.3899485510736387,month,1
pred_isotonic,2049,92.3768273159172,131.07315914562494,0.8087832060511029,3.7983937970318102,0.39067007530709674,month,1
pred_bin_bias,2049,91.82839925034432,131.81561619959055,0.8066107956204565,12.76416665956131,0.38721855782075965,month,1
pred_high_residual_cal,2049,91.05113705872361,130.97641086110238,0.8090653853972829,9.316512352524626,0.3911198365343882,month,1
pred_high_residual_cal_full,2049,91.10277956099155,131.74725587464545,0.8068113290809265,10.920081034567982,0.3875363497464467,month,1
pred_blend_raw_highcal_50,2049,91.59310571690114,130.6198611391934,0.8101035115952191,6.91115932945959,0.3927773567819829,month,1
pred_blend_iso_highcal_50,2049,91.35255958464899,130.4383967976845,0.8106307745159002,6.557453074778217,0.3936209440905273,month,1
persistence,1870,171.74158572192516,224.2632258109867,0.5190410547665769,1.0296785561497326,0.0,month,2
pred_raw,1870,114.55968520881142,147.83088814786078,0.791011567246217,19.679559527201093,0.3408152958949434,month,2
pred_isotonic,1870,113.85641750142683,148.0583899781748,0.7903678339095694,19.40171766411068,0.3398008548090662,month,2
